2026-07-29 15:36:38,499 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-29 15:39:00,040 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:39:05,116 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:39:10,264 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:39:15,367 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:39:20,431 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:39:25,638 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:39:30,879 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:39:35,979 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:39:41,103 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:39:46,189 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:39:51,288 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:39:56,648 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:01,795 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:06,944 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:12,179 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:17,309 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:22,545 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:27,668 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:32,757 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:37,823 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:42,940 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:48,096 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:53,224 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:40:58,441 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:03,551 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:08,674 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:13,775 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:19,123 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:24,173 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:29,218 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:34,313 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:39,403 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:44,491 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:49,573 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:54,703 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:41:59,810 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:42:04,863 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:42:10,013 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:42:15,144 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:42:20,194 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:42:25,341 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:42:30,480 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:42:35,976 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:42:41,137 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:42:46,248 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:42:51,342 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:42:56,431 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:01,654 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:06,757 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:11,838 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:16,938 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:22,091 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:27,185 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:32,295 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:37,351 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:42,555 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:47,698 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:52,832 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:43:58,639 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:44:03,729 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:44:08,875 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:44:14,282 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:44:19,622 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:44:24,854 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:44:29,907 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:44:35,011 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:44:40,126 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:44:45,242 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:44:50,302 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:44:55,437 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:00,571 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:05,684 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:10,832 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:15,926 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:21,447 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:26,575 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:31,636 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:36,685 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:42,087 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:47,239 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:52,383 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:45:57,493 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:46:02,689 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:46:07,852 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:46:13,061 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:46:18,145 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:46:23,304 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:46:28,399 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:46:33,567 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:46:38,606 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@10.122.139.101:8554/jabileye-stream
2026-07-29 15:46:41,103 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-29 15:46:41,644 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-29 15:46:42,505 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-29 15:46:44,440 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-29 15:46:46,235 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-29 15:46:48,858 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
2026-07-29 15:46:53,026 | WARNING | sas.recognition | RTSP open failed for rtsp://admin:penAteam@jbleyepoc035:8554/jabileye-stream
